SID,article_number,sharing_type,score
s600,94,msg_share_broad,65
s606,36,msg_share_broad,75
s610,24,msg_share_broad,59
s615,31,msg_share_broad,100
s618,71,msg_share_broad,9
s620,89,msg_share_broad,61
s622,44,msg_share_broad,82
s624,10,msg_share_broad,88
s627,11,msg_share_broad,0
s629,24,msg_share_broad,100
s631,98,msg_share_broad,8
s635,28,msg_share_broad,60
s638,62,msg_share_broad,50
s640,93,msg_share_broad,87
s001,8,msg_share_narrow,75
s003,72,msg_share_narrow,10
s005,88,msg_share_narrow,100
s009,68,msg_share_narrow,72
s012,109,msg_share_narrow,1
s015,47,msg_share_narrow,50
s018,99,msg_share_narrow,55
s020,82,msg_share_narrow,16
s024,27,msg_share_narrow,11
s028,109,msg_share_narrow,90
s031,49,msg_share_narrow,94
s036,93,msg_share_narrow,5
s038,65,msg_share_narrow,0
s041,51,msg_share_narrow,96
s043,17,msg_share_narrow,3
s046,51,msg_share_narrow,93
s049,94,msg_share_narrow,42
s052,8,msg_share_narrow,95
s054,89,msg_share_narrow,5
s056,105,msg_share_narrow,44
s058,24,msg_share_narrow,30
s063,23,msg_share_narrow,0
s065,73,msg_share_narrow,79
s067,82,msg_share_narrow,38
s069,100,msg_share_narrow,75
s072,25,msg_share_narrow,61
s074,107,msg_share_narrow,70
s076,19,msg_share_narrow,0
s079,107,msg_share_narrow,72
s081,73,msg_share_narrow,1
s083,88,msg_share_narrow,49
s085,28,msg_share_narrow,3
s089,10,msg_share_narrow,21
s092,85,msg_share_narrow,51
s095,48,msg_share_narrow,8
s099,50,msg_share_narrow,0
s101,35,msg_share_narrow,12
s104,90,msg_share_narrow,50
s108,15,msg_share_narrow,6
s111,55,msg_share_narrow,0
s113,88,msg_share_narrow,1
s115,53,msg_share_narrow,3
s117,68,msg_share_narrow,83
s119,9,msg_share_narrow,0
s121,72,msg_share_narrow,70
s123,3,msg_share_narrow,73
s125,43,msg_share_narrow,0
s127,3,msg_share_narrow,62
s132,1,msg_share_narrow,0
s134,52,msg_share_narrow,33
s137,89,msg_share_narrow,76
s140,96,msg_share_narrow,0
s143,41,msg_share_narrow,35
s146,101,msg_share_narrow,54
s149,75,msg_share_narrow,95
s151,17,msg_share_narrow,100
s155,65,msg_share_narrow,100
s157,19,msg_share_narrow,75
