SID,article_number,value,Tone,Arousal,sharing_type,sharing
s009,60,I am a young person who is attempting to become a parent in near future,1,1,msg_share_narrow,75
s009,67,I am a young person who is concerned with environment impact of human actions on earth and my future generations.,1,4,msg_share_narrow,53
s009,67,I am a young person who is concerned with environment impact of human actions on earth and my future generations.,1,4,msg_share_broad,54
s009,63,I own a home and live near wooded area that is prone to wildfires,0,2,msg_share_broad,52
s009,63,I own a home and live near wooded area that is prone to wildfires,0,2,msg_share_narrow,52
s009,61,Political process for energy exploration efforts in ecologically sensitive area,0,2,msg_share_broad,52
s009,61,Political process for energy exploration efforts in ecologically sensitive area,0,2,msg_share_narrow,53
s009,66,Potential risks of gluten-free diet on healthy individuals,0,2,msg_share_broad,36
s009,66,Potential risks of gluten-free diet on healthy individuals,0,2,msg_share_narrow,50
s009,62,Running race designed to challenge runners,1,2,msg_share_narrow,22
s009,62,Running race designed to challenge runners,1,2,msg_share_broad,27
s009,69,Some effective ways to recycle things,1,2,msg_share_broad,51
s009,69,Some effective ways to recycle things,1,2,msg_share_narrow,52
s009,65,"The article covers an inspiring story on advocacy for climate change, which is important to me",1,4,msg_share_narrow,51
s009,65,"The article covers an inspiring story on advocacy for climate change, which is important to me",1,4,msg_share_broad,52
s012,107,"if we want clean air, we should stop using less deodorant and other perfumes.",1,2,msg_share_narrow,41
s012,107,"if we want clean air, we should stop using less deodorant and other perfumes.",1,2,msg_share_broad,59
s012,109,Kids skipped school to protest demand on climate issues.,1,4,msg_share_narrow,1
s012,109,Kids skipped school to protest demand on climate issues.,1,4,msg_share_broad,9
s012,105,Local governments are suing oil and gas companies.,0,2,msg_share_broad,7
s012,105,Local governments are suing oil and gas companies.,0,2,msg_share_narrow,7
s012,108,Obesity can lead to heart disease.,0,1,msg_share_broad,5
s012,108,Obesity can lead to heart disease.,0,1,msg_share_narrow,6
s012,102,People who are against GMO's don't know much about them according to a new study.,1,2,msg_share_narrow,31
s012,102,People who are against GMO's don't know much about them according to a new study.,1,2,msg_share_broad,39
s012,103,People who care about the environment should be concerned that SUV's are preferred cars.,1,2,msg_share_narrow,16
s012,103,People who care about the environment should be concerned that SUV's are preferred cars.,1,2,msg_share_broad,19
s012,106,Sleep apnea can cause obesity.,0,1,msg_share_narrow,37
s012,106,Sleep apnea can cause obesity.,0,1,msg_share_broad,8
s012,100,There is no such thing as strong immune system.,0,2,msg_share_broad,28
s012,100,There is no such thing as strong immune system.,0,2,msg_share_narrow,65
s012,104,This article matters to people I know because a lot of them know of someone or has gone through breast cancer.,1,2,msg_share_broad,63
s012,104,This article matters to people I know because a lot of them know of someone or has gone through breast cancer.,1,2,msg_share_narrow,65
s012,101,This article matters to people I know because they care about the welfare of endangered species.,1,2,msg_share_broad,1
s012,101,This article matters to people I know because they care about the welfare of endangered species.,1,2,msg_share_narrow,1
s015,40,"If you think certain supplements can help you, you might be wrong about that.  Being deceived by some articles about supplements can just make your exercising worse.",0,2,msg_share_narrow,27
s015,40,"If you think certain supplements can help you, you might be wrong about that.  Being deceived by some articles about supplements can just make your exercising worse.",0,2,msg_share_broad,48
s015,43,Keeping people working at an industry that is doomed to fail eventually for pure profit is terrible and will cost our world a great deal in the end.,0,4,msg_share_narrow,17
s015,43,Keeping people working at an industry that is doomed to fail eventually for pure profit is terrible and will cost our world a great deal in the end.,0,4,msg_share_broad,50
s015,47,This is a good way to be more environmentally friendly at the same time save some money.,1,2,msg_share_narrow,50
s015,47,This is a good way to be more environmentally friendly at the same time save some money.,1,2,msg_share_broad,88
s015,41,This is about countries that would lose a lot of money if they went with saving the planet. They are more interested in their own salvation rather than the planets.,0,2,msg_share_narrow,15
s015,41,This is about countries that would lose a lot of money if they went with saving the planet. They are more interested in their own salvation rather than the planets.,0,2,msg_share_broad,79
s015,44,This is about how you can supplement food for babies early and reap the benefits at night for longer sleep times.,1,2,msg_share_broad,15
s015,44,This is about how you can supplement food for babies early and reap the benefits at night for longer sleep times.,1,2,msg_share_narrow,43
s015,48,This is about staying healthy with a hectic schedule.  Using only 13 minutes of your time to exercise a day.,1,2,msg_share_broad,60
s015,48,This is about staying healthy with a hectic schedule.  Using only 13 minutes of your time to exercise a day.,1,2,msg_share_narrow,60
s015,46,This is about what you can consume to reduce or prevent kidney stones naturally.,1,2,msg_share_broad,51
s015,46,This is about what you can consume to reduce or prevent kidney stones naturally.,1,2,msg_share_narrow,87
s015,49,This is something that is happening all the time with China not recycling garbage it is just going to our landfills.,0,2,msg_share_narrow,50
s015,49,This is something that is happening all the time with China not recycling garbage it is just going to our landfills.,0,2,msg_share_broad,9
s015,45,This should worry you a lot as it is a sign of climate change that might be un-reversible and will effect our children and grandchildren.,0,4,msg_share_broad,80
